rank,trial_number,candidate,objective,physics_level,physics_admissible,R2_min,R2_median,R2_mean,R2_std,RMSE_mean,MAE_mean,bias_abs_mean,active_cdp_pcd_min,active_cdp_pcd_mean,parameter_count,training_time_s,config_hash
44,69,TRIAL_0069_CDP_NEG,0.7290544380620869,C,False,0.717469145815832,0.7541925971695487,0.7700237078699861,0.04687199365275464,0.8634811936578499,0.44877702583060797,0.05217209715106972,74.267578125,83.310546875,64769,1385.7649777000042,ec8f845b1ebbadff9f739c8eded2e7dbb285ea59196e66d05e5cbf85fccbbdb7
45,113,TRIAL_0113_CDP_NEG,0.7290134591009931,C,False,0.7228938507489429,0.7438556670514085,0.765301574689804,0.044097089327755426,0.8727680426243098,0.45085737757576966,0.05199527915169598,92.822265625,94.482421875,89443,1773.7796466000436,b8c1183ac8a6bb9dff2b91e1b90ba280c8445719a25b91b64fe098984b459c3b
46,8,TRIAL_0008_CDP_NEG,0.7286409728198443,C,False,0.7183390707893632,0.7510027121058487,0.7676239503750832,0.044256783230365006,0.8681810211059737,0.4563570756176529,0.04054133502011962,50.927734375,78.154296875,23329,766.373588800001,1338b8039c29321ed7b822c9932dd93a0905e33c94957db972a5beed3b43877f
47,66,TRIAL_0066_CDP_NEG,0.7285416146225546,C,False,0.7163523502647383,0.7535701982364176,0.7684684882384469,0.04187703831058394,0.8665128232447998,0.45823173229640196,0.03456145324287491,58.447265625,71.77734375,72321,1028.8746506000025,3f7d346e9884df32059721f6f854e8ec232e0dab790c5e998bb4500a22bbe224
48,83,TRIAL_0083_CDP_NEG,0.7284816520346646,C,False,0.7169286162093164,0.7530534244539557,0.767714259102724,0.04362970937384318,0.8677288815130442,0.46233089333971017,0.026552568508160783,87.158203125,89.208984375,60577,742.969884199978,a5c1a9d01e0e37585c7efd6009f84789d0e94523457578dd0965b24a3f335c1d
49,63,TRIAL_0063_CDP_NEG,0.7283016775816422,C,False,0.7176971330574341,0.7531470436478981,0.7657691905165631,0.04837634398843845,0.8720741163450629,0.4518940669992146,0.05867517991522401,78.466796875,83.75,87473,3198.843762699995,156ba104aa118b76492eb1eafb10fab65691938c01e8f63ce936f811b6135f9f
50,37,TRIAL_0037_CDP_NEG,0.7276048156751488,C,False,0.7200205158124662,0.7453428051392175,0.7662782200009254,0.046381573541887024,0.8707615805493777,0.4487376153218374,0.03130701574504695,42.724609375,64.43359375,46449,2329.8503311999957,21c835ba1ef56d6a3c805421c6177bebfad68cc5a5088d0d110fe01d1ad106cb
51,32,TRIAL_0032_CDP_NEG,0.7275100916603217,C,False,0.7218148329434608,0.7417014768601544,0.766383652484829,0.04727616412284086,0.8705619256435373,0.4499449083318515,0.03843010079238286,36.71875,42.8125,33825,3060.6486857999917,c1902c9716687423ee5e222e3ed94d2faec9c49fb449f785082b83c92eb15557
52,61,TRIAL_0061_CDP_NEG,0.7274776517711603,C,False,0.7194362462994481,0.7459251436331082,0.7678072454252091,0.04742363640962008,0.8677239579518398,0.4542265477714865,0.045627002370746385,92.96875,98.10546875,104899,859.8836822999874,45bc3d953350ecc1169c2200a7e832926e2c98ca63f72bf8386950d869d2e384
53,52,TRIAL_0052_CDP_NEG,0.7270775907879894,C,False,0.7175233439975052,0.7486025331580133,0.7681119380571746,0.04828369363635044,0.8667473178133299,0.4622050714966111,0.036898789793152816,69.7265625,75.01953125,46433,714.6828764999955,def9a4997dc79e819859c980aa463bbf66e4cb096c5e6ce9f8caba0727fd54f1
54,29,TRIAL_0029_CDP_NEG,0.7265108770460715,C,False,0.7202337084585159,0.7414771393930054,0.765920606354041,0.046645504823437524,0.8714730866709818,0.450339898420678,0.04769581562519053,36.23046875,46.416015625,33825,1613.4294304000068,10d5552171961f1029fe07c9dea50923cc6344d14b6b0aae5ccb628e8de37a11
55,34,TRIAL_0034_CDP_NEG,0.7264774953128135,C,False,0.711950579382036,0.7569923044613146,0.7681416691510758,0.04604710569909925,0.8664525188245997,0.45841558746091976,0.04381514432177179,59.5703125,68.896484375,55521,2952.9089642000035,c9cc7dced1b78884a15523ad6e30094ab3b345d2954bee0688a76fa81dd8bca4
56,102,TRIAL_0102_CDP_NEG,0.7262581075415859,C,False,0.7187964158946872,0.7436802032177046,0.7628486551108445,0.04408668471622273,0.877032238124926,0.4533383649994172,0.047862849896852806,69.677734375,81.19140625,76033,2116.891254099988,93b934eb54ee0db3e552c487b41114bb1bc45d8a2a14f1a538e17392f434d019
57,44,TRIAL_0044_CDP_NEG,0.7261971859356633,C,False,0.7206162075801583,0.740397524976975,0.7602787680569733,0.04319672911221458,0.8823725675737435,0.45215724126317214,0.05106718987743862,44.62890625,47.44140625,34609,952.885655399994,eb60ef5149576e22d5fe60f2d82bfa2c78c2ccd5043924984acb9b3c0c5f7c32
58,47,TRIAL_0047_CDP_NEG,0.7257219614282795,C,False,0.7111694574844051,0.7560081392773933,0.7674405330658287,0.04526208152164468,0.869018976584069,0.4608113895365218,0.040048061081753156,52.24609375,78.173828125,7969,232.81986229999166,f59d28cd2a7c2ea753cb561052be77690ba98e776a6bc9eb8eef220ff08549c8
59,88,TRIAL_0088_CDP_NEG,0.7252403841602668,C,False,0.7139928590034632,0.7493697035154703,0.7655767600653284,0.045239183029850145,0.8716710389115431,0.45924203550454334,0.04415126918759172,75.537109375,83.212890625,76033,2336.0544751000125,b1b5845ea747dac61732e06b39ddcddab4d0b754ff95a403e24dbb5e2e6cfdf5
60,100,TRIAL_0100_CDP_NEG,0.7243325895991117,C,False,0.7200470136520611,0.7361252218951815,0.7598170981346634,0.045148949741456904,0.8830036104078072,0.4578999477778738,0.07138653824030675,89.404296875,91.279296875,60929,763.2151291999908,c3bd123bd83423df6b85d72c94b611644d2df2507e05612b740341ec29a935d0
