trial,step,folds_completed,screening_score,screening_pcd_min,decision,reason,fold_trainings_avoided
19,2,2,-0.1382282882513597,48.974609375,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
19,5,5,-0.1382282882513597,48.974609375,COMPLETE_FIVE_FOLDS,promotion_completed,0
20,2,2,0.7636967884868894,99.951171875,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
20,5,5,0.7636967884868894,99.951171875,COMPLETE_FIVE_FOLDS,promotion_completed,0
21,2,2,0.733258788549994,99.853515625,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
21,5,5,0.733258788549994,99.853515625,COMPLETE_FIVE_FOLDS,promotion_completed,0
22,2,2,0.719135090166993,100.0,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
22,5,5,0.719135090166993,100.0,COMPLETE_FIVE_FOLDS,promotion_completed,0
23,2,2,-0.0998057711480724,48.095703125,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
23,5,5,-0.0998057711480724,48.095703125,COMPLETE_FIVE_FOLDS,promotion_completed,0
24,2,2,-0.1892175134614428,49.90234375,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
24,5,5,-0.1892175134614428,49.90234375,COMPLETE_FIVE_FOLDS,promotion_completed,0
25,2,2,0.7223791072144262,99.4140625,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
25,5,5,0.7223791072144262,99.4140625,COMPLETE_FIVE_FOLDS,promotion_completed,0
26,2,2,0.824481648146318,98.388671875,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
26,5,5,0.824481648146318,98.388671875,COMPLETE_FIVE_FOLDS,promotion_completed,0
27,2,2,0.7588638329088437,100.0,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
27,5,5,0.7588638329088437,100.0,COMPLETE_FIVE_FOLDS,promotion_completed,0
28,2,2,-0.2146603762112406,66.50390625,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
28,5,5,-0.2146603762112406,66.50390625,COMPLETE_FIVE_FOLDS,promotion_completed,0
29,2,2,0.4454653200576745,69.3359375,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
29,5,5,0.4454653200576745,69.3359375,COMPLETE_FIVE_FOLDS,promotion_completed,0
30,2,2,0.820249269354558,77.099609375,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
30,5,5,0.820249269354558,77.099609375,COMPLETE_FIVE_FOLDS,promotion_completed,0
31,2,2,0.8095766584030419,86.62109375,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
31,5,5,0.8095766584030419,86.62109375,COMPLETE_FIVE_FOLDS,promotion_completed,0
32,2,2,0.801346340124857,69.3359375,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
32,5,5,0.801346340124857,69.3359375,COMPLETE_FIVE_FOLDS,promotion_completed,0
33,2,2,0.8076132370431476,73.095703125,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
33,5,5,0.8076132370431476,73.095703125,COMPLETE_FIVE_FOLDS,promotion_completed,0
34,2,2,0.8081292444765346,99.90234375,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
34,5,5,0.8081292444765346,99.90234375,COMPLETE_FIVE_FOLDS,promotion_completed,0
