trial_number,candidate_id,fold,seed,N_train,N_validation,best_iteration,effective_trees,nodes,leaves,model_ubj_bytes,elapsed_seconds,R2,RMSE,MAE,bias,negative_prediction_pct,tail_threshold,tail_RMSE,tail_MAE,tail_bias
36,OPTUNA_0036,1,42,15039,7152,60,61,39569,19815,1386525,1.1634441,0.6958353269,1.3036336192,0.7977908435,-0.4751742504,0.0,5.63504,3.3019981583,2.4643352267,-2.3333150306
36,OPTUNA_0036,2,42,22191,7158,17,18,15260,7639,531723,0.9768904,0.5452030826,1.3533574392,0.7470822723,0.4240613536,0.0,3.6468,3.0445589012,1.5527293198,-0.4947162375
37,OPTUNA_0037,0,42,7411,7628,12,13,13803,6908,478904,1.114003,0.5379746513,1.6816072315,0.9222251783,-0.3812539316,0.0,5.00594,4.3648551185,2.8036752028,-1.7455669185
37,OPTUNA_0037,1,42,15039,7152,13,14,27460,13737,943907,1.5410705,0.6816668869,1.333650629,0.8239039446,-0.4852635046,0.0,5.63504,3.3679064787,2.6606330346,-2.5195698052
37,OPTUNA_0037,2,42,22191,7158,4,5,15927,7966,545850,1.6644169,0.6164393452,1.2428559164,0.6974173544,0.2559544118,0.0,3.6468,3.0896335552,1.7566949523,-1.513339292
38,OPTUNA_0038,0,42,7411,7628,16,17,903,460,42912,0.3387399,0.4860784527,1.7735362842,0.97941287,-0.4043108154,0.0,5.00594,4.3241832181,2.8329855575,-1.7843156019
38,OPTUNA_0038,1,42,15039,7152,21,22,1208,615,56567,0.462387,0.7006081606,1.293365122,0.7768649359,-0.5257043669,0.0,5.63504,3.3264968253,2.5933080901,-2.4476898596
38,OPTUNA_0038,2,42,22191,7158,6,7,417,212,19814,0.4028464,0.5223201303,1.3869864817,0.727268995,0.3371243115,0.0,3.6468,3.3676358157,1.6629416039,-1.1203133801
39,OPTUNA_0039,0,42,7411,7628,18,19,4279,2149,159029,0.6178616,0.4809483995,1.7823661755,1.0081149264,-0.3450539087,0.0,5.00594,4.2633432621,2.8730010235,-1.8106439893
39,OPTUNA_0039,1,42,15039,7152,32,33,8987,4510,328313,0.6901548,0.678129769,1.3410395052,0.8174811296,-0.4854807731,0.0,5.63504,3.3838030011,2.5831909249,-2.3967967759
39,OPTUNA_0039,2,42,22191,7158,6,7,2483,1245,90065,0.5759572,0.5444085533,1.3545390798,0.7516981437,0.3799867908,0.0,3.6468,3.2734356553,1.5858918742,-1.1388349358
