trial_number,candidate_id,fold,seed,N_train,N_validation,best_iteration,effective_trees,nodes,leaves,model_ubj_bytes,elapsed_seconds,R2,RMSE,MAE,bias,negative_prediction_pct,tail_threshold,tail_RMSE,tail_MAE,tail_bias
24,OPTUNA_0024,4,42,27061,2784,2399,2400,865582,433991,31014579,15.0844103,0.7251886078,0.9229796048,0.5140461803,0.1089837181,0.0,4.38449,2.2168018071,0.9204584988,-0.3786292856
25,OPTUNA_0025,0,42,25813,4032,717,718,230706,115712,8318674,5.9842905,0.8358863399,0.6281426995,0.41032188,0.0564365635,0.0,3.96909,1.2733295532,0.703213709,-0.3447447499
25,OPTUNA_0025,3,42,26466,3379,1417,1418,441330,221374,15941892,10.834928,0.7383484201,1.0857715319,0.5105612659,0.032534074,0.0,4.67896,2.8370278004,1.1002274555,-0.9060636075
25,OPTUNA_0025,1,42,27493,2352,699,700,239416,120058,8602934,5.7811819,0.7080321765,0.9947126704,0.5076455429,-0.008953389,0.0,4.52935,2.5527086059,1.014585908,-0.7175891326
25,OPTUNA_0025,2,42,26989,2856,922,923,294649,147786,10628036,7.2301135,0.785295173,0.79274758,0.4802426842,-0.0023937817,0.0,4.35905,1.8882879778,1.0809864261,-0.8422583446
25,OPTUNA_0025,4,42,27061,2784,1543,1544,491788,246666,17740624,11.6678852,0.7237377057,0.9254128922,0.5164144072,0.1166128417,0.0,4.38449,2.2210678528,0.9318598894,-0.363066562
26,OPTUNA_0026,0,42,25813,4032,1081,1082,108506,54794,4403771,6.3131036,0.8224604902,0.6533312912,0.4314145314,0.0533706796,0.0,3.96909,1.3277300751,0.7928963115,-0.3542612729
26,OPTUNA_0026,3,42,26466,3379,2104,2105,217163,109634,8773014,12.1719249,0.7256646015,1.1117770244,0.5323897006,0.03356722,0.0,4.67896,2.9057045565,1.201889358,-0.9768899729
26,OPTUNA_0026,1,42,27493,2352,640,641,65379,33010,2646527,3.9149773,0.69392836,1.0184546585,0.5332524849,-0.0152183393,0.0,4.52935,2.6014880591,1.0694541246,-0.7286493245
26,OPTUNA_0026,2,42,26989,2856,1349,1350,140860,71105,5680664,7.837894,0.7762102822,0.8093457399,0.49636668,0.011476522,0.0,4.35905,1.9087445013,1.1136253504,-0.8681661066
26,OPTUNA_0026,4,42,27061,2784,1783,1784,189452,95618,7619189,10.1840269,0.7121278382,0.9446579263,0.5462408209,0.135253086,0.0,4.38449,2.2235846962,0.9618535039,-0.4050977984
